student_uni_id,coursecode,attendance
2400030002,24AD2001,100
2400030002,24CS2202,92
2400030002,24CS2101,78
2400030002,24EC2106,82
2400030002,24MT2012,86
2400030002,24SDCS01,91
2400030002,24CS2203,89
2400030003,24AD2103,89
2400030003,24AD2001,87
2400030003,24AD01HF,79
2400030003,24CS2101,84
2400030003,24MT2019,86
2400030003,24SC2006,80
2400030003,24SDCS01,84
2400030026,24AD2001,100
2400030026,24CS2202,75
2400030026,24CS2101,91
2400030026,24EC2106,92
2400030026,24MT2019,79
2400030026,24SDCS01,92
2400030036,24AD2103,97
2400030036,24AD2001,100
2400030036,24AD01HF,88
2400030036,24CS2101,100
2400030036,24MT2019,100
2400030036,24SC2006,92
2400030036,24SDCS01,100
2400030036,23UC0009,92
2400030041,24AD2103,97
2400030041,24AD2001,100
2400030041,24CS2101,96
2400030041,24EC2106,96
2400030041,24MT2019,93
2400030041,24SC2006,96
2400030041,24SDCS01,100
2400030041,23UC0009,92
2400030045,24AD2103,92
2400030045,24AD2001,96
2400030045,24AD01HF,87
2400030045,24CS2101,88
2400030045,24MT2019,100
2400030045,24SC2006,100
2400030045,24SDCS01,100
2400030051,24AD2103,100
2400030051,24AD2001,100
2400030051,24CS2202,100
2400030051,24MT2012,93
2400030051,24SC2006,100
2400030051,24SDCS01,96
2400030059,24AD2103,70
2400030059,24AD2001,83
2400030059,24CS2202,82
2400030059,24MT2012,86
2400030059,24SC2006,84
2400030059,24SDCS01,96
2400030072,24AD2103,60
2400030072,24AD2001,76
2400030072,24CS2101,72
2400030072,24EC2106,57
2400030072,24MT2019,70
2400030072,24SC2006,80
2400030072,24SDCS01,75
2400030088,24AD2103,100
2400030088,24AD2001,100
2400030088,24CS2101,100
2400030088,24MT2019,100
2400030088,24SC2006,100
2400030088,24SDCS01,100
2400030088,23UC0009,100
2400030098,24AD2103,81
2400030098,24AD2001,91
2400030098,24CS2101,92
2400030098,24EC2106,69
2400030098,24MT2019,100
