ID,CC,CD,GRADE,STATUS,SEMESTER
2400030026,22UC0021,SOCIAL IMMERSIVE LEARNING-1,O,P,2
2400030026,23EC1202,DIGITAL DESIGN AND COMPUTER ARCHITECTURE,O,P,2
2400030026,23EC1203,BASIC ELECTRICAL AND ELECTRONIC CIRCUITS,A,P,2
2400030026,23ME1103,DESIGN TOOL WORKSHOP,O,P,2
2400030026,23MT1001,LINEAR ALGEBRA & CALCULUS FOR ENGINEERS,O,P,2
2400030026,23SC1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,O,P,1
2400030026,23UC0008,INDIAN CONSTITUTION,P,P,2
2400030026,23UC0026,HUMAN VALUES GENDER EQUITY AND PROFESSIONAL ETHICS,A+,P,1
2400030026,24EC1101,FUNDAMENTALS OF IOT AND SENSORS,A+,P,1
2400030026,24MT1002,DISCRETE MATHEMATICS,O,P,1
2400030026,24SC1203,DATA STRUCTURES,A,P,2
2400030026,24UC0017,INDIAN KNOWLEDGE SYSTEMS: VEDIC MATHEMATICS,P,P,1
2400030026,24UC1102,LANGUAGE SKILLS FOR ENGINEERS,B+,P,1
2400030026,24UC1203,DESIGN THINKING AND INNOVATION,O,P,1
2400030026,24UC1204,COMMUNICATION SKILLS FOR ENGINEERS,A+,P,2
2400032175,22UC0021,SOCIAL IMMERSIVE LEARNING-1,O,P,2
2400032175,23EC1202,DIGITAL DESIGN AND COMPUTER ARCHITECTURE,O,P,2
2400032175,23EC1203,BASIC ELECTRICAL AND ELECTRONIC CIRCUITS,A,P,2
2400032175,23FL3058,JAPANESE LANGUAGE,O,P,2
2400032175,23ME1103,DESIGN TOOL WORKSHOP,O,P,2
2400032175,23MT1001,LINEAR ALGEBRA & CALCULUS FOR ENGINEERS,O,P,2
2400032175,23SC1101,COMPUTATIONAL THINKING FOR STRUCTURED DESIGN,A+,P,1
2400032175,23UC0026,HUMAN VALUES GENDER EQUITY AND PROFESSIONAL ETHICS,A+,P,1
2400032175,24EC1101,FUNDAMENTALS OF IOT AND SENSORS,O,P,1
2400032175,24MT1002,DISCRETE MATHEMATICS,O,P,1
2400032175,24SC1203,DATA STRUCTURES,A,P,2
2400032175,24UC0017,INDIAN KNOWLEDGE SYSTEMS: VEDIC MATHEMATICS,P,P,1
2400032175,24UC1102,LANGUAGE SKILLS FOR ENGINEERS,A,P,1
2400032175,24UC1203,DESIGN THINKING AND INNOVATION,A+,P,1
2400032175,24UC1204,COMMUNICATION SKILLS FOR ENGINEERS,A+,P,2
